ta_season,ta_market,ta_name,ta_team_code,ta_team_id,ta_alias,ta_division,ta_current_division,ta_wins,ta_losses,ta_ties,spread_0,spread_1,spread_2,spread_3,spread_4,spread_5
2015,Bradley University,Braves,72,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,BRAD,1,D1,5,27,0,-22,-15,-8,1,-18,-8
2015,Alcorn State University,Braves,17,1bddc811-44cf-4e53-b4ab-11c8dc82c9de,ALCN,1,D1,15,15,0,0,-20,-7,-14,-12,-20
2015,Rider University,Broncs,576,0b73b9b9-1e29-4b14-b5d8-0405fe942e32,RID,1,D1,13,20,0,-7,9,-3,4,-6,12
2015,Belmont University,Bruins,14927,a0a22502-0d84-440c-84af-1fbb070ad54c,BEL,1,D1,20,12,0,8,11,16,19,19,25
2015,"University of California, Los Angeles",Bruins,110,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,UCLA,1,D1,15,17,0,-2,8,19,15,5,12
2015,Northwestern State University,Demons,508,71874e7e-8260-43f9-bb7c-65f267dbe8ce,NWST,1,D1,8,20,0,-12,6,3,14,0,4
2015,Boston College,Eagles,67,4b3ff02c-e0ba-435b-a565-6075bc491684,BC,1,D1,7,25,0,-18,-6,-16,-1,-13,8
2015,American University,Eagles,23,2f513e67-f019-4eec-9096-fbc5911858b6,AMER,1,D1,12,19,0,-7,1,7,-10,8,13
2015,Winthrop University,Eagles,792,ca441726-0c57-4456-b1e7-fff098484fb5,WIN,1,D1,23,9,0,14,6,7,-3,-8,-4
2015,Coppin State University,Eagles,165,5f9a90a2-3926-404e-8c8a-d9f22ad6907d,COPP,1,D1,9,22,0,-13,-15,-8,-16,-2,2
2015,Morehead State University,Eagles,444,b7747a03-c85b-4de6-94bf-1b5b68553248,MORE,1,D1,23,14,0,9,0,6,-3,3,15
2015,Eastern Michigan University,Eagles,204,2ed86226-3fff-4083-90fa-6b02307e6f73,EMU,1,D1,18,15,0,3,7,7,-2,-4,-13
2015,Georgia Southern University,Eagles,253,6b955b96-b736-475e-bffd-e4acf2054169,GASO,1,D1,14,17,0,-3,13,-4,-5,0,-22
2015,Eastern Washington University,Eagles,207,54df21af-8f65-42fc-bc01-8bf750856d70,EWU,1,D1,18,16,0,2,17,-1,-11,-2,-10
2015,Florida Gulf Coast University,Eagles,28755,5326c079-3dc3-468f-a601-b776dd9c1e62,FGCU,1,D1,21,14,0,7,11,9,15,-2,-10
2015,North Carolina Central University,Eagles,489,e4c315a0-e83f-4d14-856e-34a0463059e3,NCCU,1,D1,13,19,0,-6,17,22,13,2,0
2015,Liberty University,Flames,355,559db90c-741f-40d1-aa81-3fdd1d4889f3,LIB,1,D1,13,19,0,-6,-17,-10,-6,-4,6
2015,University of Illinois at Chicago,Flames,302,dfe0d93f-94a5-47fb-b7aa-f74786e09acb,UIC,1,D1,5,25,0,-20,-14,-19,2,-14,-17
2015,University of Dayton,Flyers,175,632616c5-2dbb-4017-a449-c9dfc303f026,DAY,1,D1,25,8,0,17,18,15,3,7,8
2015,Providence College,Friars,556,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc,PROV,1,D1,24,11,0,13,10,11,4,-2,-2
2015,University of Florida,Gators,235,912f8837-1d81-4ef9-a576-a21f271d4c64,FLA,1,D1,21,15,0,6,-1,33,21,15,21
2015,Virginia Polytechnic Institute & State University,Hokies,742,324ccccc-575b-4b82-acb0-fbb8e68da13b,VT,1,D1,20,15,0,5,-11,-13,-6,-1,10
2015,University of Texas at El Paso,Miners,704,06d15d35-4955-4fdd-83d9-32d24dbd795b,UTEP,1,D1,19,14,0,5,11,12,4,-2,15
2015,Syracuse University,Orange,688,8cd24de1-2be8-4b77-bcfa-47be0495a5f4,SYR,1,D1,23,14,0,9,5,22,20,-3,12
2015,University of Portland,Pilots,551,224e3b21-30e7-4a05-9e8c-62721d581db8,PORT,1,D1,12,20,0,-8,1,-1,-10,-17,8
2015,Murray State University,Racers,454,77a69fb0-1355-4342-ac09-b4cc7949d95e,MURR,1,D1,17,14,0,3,23,12,11,29,14
2015,University of Mississippi,Rebels,433,d7d668ec-edaa-4d6b-be25-2ebba4128643,MISS,1,D1,20,12,0,8,8,5,18,6,6
2015,"University of Nevada, Las Vegas",Rebels,465,68a3227f-677f-43b0-9a3a-cad79d0df9e2,UNLV,1,D1,18,15,0,3,3,7,15,17,15
2015,Siena College,Saints,639,aba39ad0-6d9f-4946-bf7e-5c63bf966ce6,SIE,1,D1,21,13,0,8,-9,2,-16,-3,-5
2015,Auburn University,Tigers,37,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,AUB,1,D1,11,20,0,-9,-5,-2,-14,-1,-9
2015,Towson University,Tigers,711,6f3eec09-2918-4739-a0e8-5d79e14a8332,TOWS,1,D1,20,13,0,7,-8,14,5,-30,-22
2015,Clemson University,Tigers,147,dcf5c2e7-c227-4c20-af26-715d5f859412,CLEM,1,D1,17,14,0,3,1,10,-5,1,10
2015,Princeton University,Tigers,554,fe406882-9f22-495e-9df6-ef357a6803c6,PRIN,1,D1,22,7,0,15,2,12,6,8,18
2015,University of Memphis,Tigers,404,1551b3a0-6d10-4ffa-8dfa-73b56f004553,MEM,1,D1,19,15,0,4,4,14,26,17,15
2015,Jackson State University,Tigers,314,c444e03b-d16b-48b2-9b18-823c2647d41d,JKST,1,D1,20,16,0,4,-10,-9,-7,-17,2
2015,Savannah State University,Tigers,632,3eacc387-0ad8-4c5e-a666-c8ab447d224f,SAV,1,D1,16,16,0,0,-13,-6,4,9,-6
2015,Texas Southern University,Tigers,699,eb157f98-0697-459c-9293-ddb162ceb28b,TXSO,1,D1,18,15,0,3,9,4,3,-3,6
2015,University of the Pacific,Tigers,534,c9570e17-c4fd-41e6-908a-1a083941319d,PAC,1,D1,8,20,0,-12,-7,2,9,-8,1
2015,Grambling State University,Tigers,261,6776c7e6-f4c2-47bd-99e5-39fc179a3197,GRAM,1,D1,7,24,0,-17,-25,-19,-28,-20,-9
2015,Louisiana State University,Tigers,365,70e2bedd-3a0a-479c-ac99-e3f58aa6824b,LSU,1,D1,19,14,0,5,11,6,7,3,-10
2015,Tennessee State University,Tigers,691,87721c44-53a2-47aa-9b3a-0f1c99b0f328,TNST,1,D1,20,11,0,9,-21,-20,3,7,-2
